id,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11
1,0.6427809,0.3020998,-0.6438396,0.40334737,-0.78305554,1.671747,-0.40276363,-1.4002315,-0.15079084,1.5216457,-0.9748768,-0.48044404
10,1.0152905,0.03859614,-0.29415932,-0.12591982,-0.5082355,1.6127923,0.5598311,-0.5763683,-0.57713526,1.0167094,-0.6095852,-0.1348865
100,0.3779989,1.280619,-0.43807006,0.8719346,-1.1448108,0.34313336,0.56081176,0.5692685,-0.08009501,0.5119144,-0.2819361,-0.24643333
101,0.08315785,1.3858835,-0.29036447,0.8151802,-1.0577037,0.13692771,0.5565872,0.6246194,0.13718434,0.067306876,-0.17165004,-0.8251124
102,0.2574615,1.6542375,-0.45358077,0.31503534,-0.7620247,0.5884957,1.2053666,0.5896496,0.2612692,-0.13311054,-0.4001354,-1.9781945
103,0.1580945,1.0403445,-0.41919005,0.35509938,-0.13848063,1.0500311,0.5536367,1.042654,0.12105546,0.12672466,0.2683,-1.7866154
104,0.16993257,0.9964392,-0.47898155,0.50579387,-0.03250289,1.1902118,0.41842481,1.002205,-0.005875595,0.11681176,0.25035328,-1.9027653
105,0.22958018,0.99702835,-0.69204247,0.54817396,0.21834262,1.3838556,0.46038046,0.9004302,-0.16821778,0.24684536,0.17762262,-1.9306827
106,0.24098647,1.159157,-0.5982269,0.5368866,-0.2689225,0.9427157,0.5521082,0.9172835,0.054368522,0.25440353,0.02933344,-1.6349769
107,0.33895412,1.1861422,-0.5408978,0.63348037,-0.5965629,0.75442505,0.41259342,0.9612935,0.21303627,0.04259977,-0.017659567,-1.4381716
108,0.22465229,1.1913147,-0.40491065,0.45382816,-0.7401227,0.5023865,0.73145163,1.1865969,0.13677584,0.30124894,0.042532086,-1.7080046
109,-0.1399246,1.6757165,0.017137991,0.5025349,-1.0332465,0.2442414,1.2413167,0.0551159,0.014958316,-0.42618948,-0.43114555,-1.1641194
11,1.7981153,0.9897033,-0.029888783,0.07443049,0.21848936,0.31483185,0.44445002,-0.97470844,-1.2060032,0.8189207,-0.24247213,0.102549255
110,-0.52326643,1.4856683,-0.056400258,0.43773732,-0.33932132,0.5338931,1.2353489,-0.2696143,-0.06723058,-0.4796002,-0.6620376,-0.92867124
111,-0.6638026,1.1514404,-0.020534221,0.46967208,0.11522925,1.265719,1.1612928,-0.1982558,-0.3130908,-0.646461,-0.5211747,-0.98114115
112,-0.4466502,1.2635096,-0.34132835,0.6117692,0.34035286,1.04974,1.3695079,0.1991168,-0.7874509,-0.17718548,-0.059487123,-0.962664
113,-0.48752558,0.8725394,-0.23731646,0.7160123,0.47760308,1.2168425,1.0750401,-0.16711178,-0.60108,-0.26329243,-0.34496042,-0.9838977
114,-0.16750139,0.99825513,-0.30812502,0.71495134,0.35393634,0.77956325,1.2294002,-0.08363297,-0.66005397,-0.371678,-0.39802614,-1.0833077
115,0.22249612,1.3127532,-0.19144955,0.688658,-0.28594527,0.70438886,1.1274922,-0.084416,-0.42787224,-0.66989136,-0.6495537,-0.6583409
116,-0.25440076,1.378534,-0.13536458,0.5218058,-0.43629566,0.49785253,1.5548768,0.07151585,-0.41403392,-1.0716592,-0.5310896,-0.9228819
117,-0.03737855,0.9288397,0.67113316,0.75680035,-0.94620776,-0.08980322,0.8012824,-0.53629076,0.012454797,-0.12814292,0.092498206,-1.7522359
118,0.09179181,0.7996622,0.7229273,1.0811698,-0.8601736,-0.28360516,0.5219689,-0.89306355,-0.064533345,0.17910725,0.0680301,-1.6325585
119,-0.4281801,0.77683014,0.19905324,1.0043378,-0.09250913,0.5851873,0.8346457,-0.55990946,-0.2687612,0.1470748,0.015437787,-1.3094131
12,1.4308571,0.6761893,-0.023791634,-0.104781255,-0.27918532,0.5434466,0.23290646,-1.1823728,-1.1436018,0.8867311,-0.50183296,0.0809897
120,-0.5014509,0.5960183,0.33906266,0.9878517,0.135199,0.64220923,0.52293503,-0.5403153,-0.29789624,0.38048816,0.3677134,-1.4073542
121,-0.4166107,0.5483282,0.051559195,1.1291949,0.3588004,0.8524447,0.5702683,-0.33195573,-0.37946075,0.45959562,0.14255849,-1.2395308
122,-0.23113649,0.8536667,-0.17916048,0.9733177,0.18409991,0.7635473,0.8564873,-0.2911008,-0.35582528,0.2206695,-0.14814861,-1.385573
123,-0.0013713501,0.907109,0.24835347,1.1537616,-0.27989107,0.546051,0.7436008,-0.9418216,0.11173736,0.20595491,-0.3575991,-1.0507143
124,-0.17571653,1.1636229,0.16379976,0.7011499,-0.550961,-0.033597972,0.8053817,-0.39980823,0.2967542,-0.13589406,-0.27526444,-1.2820518
125,-0.026733415,0.542705,1.2293569,0.9316114,-0.8518487,0.23607643,0.42817873,-0.58961546,-0.65939456,-0.1359267,0.64663327,-1.4576931
126,0.003792386,0.8700453,0.82236695,0.7612623,-0.55763733,0.27102563,0.4802097,-0.2692411,-0.6674836,-0.3384039,0.2674209,-1.1785345
127,-0.5355886,0.6485425,0.48544812,0.8935273,0.058319163,0.6482282,0.51880765,-0.2998057,-0.5984365,0.0752642,0.3768229,-0.98566216
128,-0.49427253,0.696534,0.042691104,0.85144246,0.44529468,1.0254093,0.46474957,0.05671594,-0.5384114,0.37770447,0.4074513,-1.0906894
129,-0.37727842,0.59797716,-0.13661723,0.9896999,0.59494954,1.2483108,0.5034104,0.13762668,-0.5546363,0.37563086,0.23630552,-1.0320876
13,1.5255071,1.0047398,0.12058028,0.08307674,0.16204272,0.46203023,0.49702668,-1.0955154,-1.0808632,0.79458123,-0.05076725,0.33632782
130,-0.30700815,0.77627176,-0.048509434,0.93501145,0.49757662,1.1087384,0.4836413,0.019219624,-0.63871837,0.27749836,0.19589743,-1.0831155
131,-0.0742064,0.6332284,0.3206696,1.02272,0.13274042,0.3966256,0.506611,-0.43213883,-0.6311715,0.04147334,0.018572647,-1.1108321
132,-0.0033720583,0.77607864,0.76576775,0.82264686,-0.3963718,0.4110768,0.64480853,-0.5360279,-0.70097727,-0.24043515,0.20259519,-1.1140821
133,0.26107424,0.54593414,0.7485083,0.60588074,-1.0232512,0.60959417,0.3724236,-0.16010842,-0.2942666,-0.1649031,0.46328261,-1.1191694
134,0.12141493,0.589094,0.53241307,0.795617,-0.47522092,0.58031696,0.4034925,-0.44096917,-0.30740893,0.002652282,0.1720217,-1.0484507
135,-0.23647039,0.6456008,0.32942155,0.9971746,0.022352979,0.61161286,0.40589708,-0.2941741,-0.5674534,0.23819035,0.1353673,-0.7725871
136,-0.1082909,0.5250491,0.056167267,0.8974429,0.3360848,0.96982336,0.4417139,0.06414754,-0.6067527,0.13140188,0.27624202,-1.041682
137,-0.28617457,0.5171866,-0.5898386,1.0210415,0.85221004,1.496004,0.64584213,0.37580982,-0.5559719,0.17984414,0.018642446,-1.1269746
138,-0.34133232,0.5634362,-0.1864801,0.8489355,0.4819868,1.1368543,0.53388375,0.14390755,-0.4544626,0.12007621,0.21427797,-1.1543896
139,-0.16425025,0.758283,0.30137402,0.9897167,0.07407847,0.60996395,0.47908038,-0.37374955,-0.5841713,0.15703595,0.061270792,-0.95553577
14,1.1453778,1.0706514,-0.11678787,0.46450657,-0.17964944,0.40693134,0.3348968,-1.4571397,-0.94034404,0.6995034,-0.29018497,0.33300143
140,0.22984548,0.96126103,0.47366625,0.91785854,-0.3171905,0.28503847,0.23041326,-0.3926526,-0.32073522,0.25635484,-0.030902516,-1.0018632
141,0.5997585,0.70535564,0.61373353,0.7734089,-0.82795936,0.59290487,0.26399747,-0.44933447,-0.44595945,-0.08548727,0.059932847,-0.7181736
142,0.37691334,0.7219206,0.6416563,0.92950135,-0.3977501,0.89080507,0.16116557,-0.5087155,-0.6082847,0.2787614,0.1377543,-0.76246905
143,0.22614968,1.062095,0.14081135,0.9441056,-0.12879811,0.88125527,0.092000306,-0.32382473,-0.3845222,0.67293906,-0.1125872,-0.5638705
144,-0.073401496,0.65933174,-0.10603915,0.8254286,0.27785474,1.0113721,0.4024473,0.0035946558,-0.45884156,0.4213347,0.21727148,-0.9340882
145,-0.2144795,0.49700218,-0.36361834,0.93526995,0.65172535,1.2679378,0.5902598,0.20362633,-0.51434124,0.0031697322,-0.018915167,-1.1503513
146,-0.32273462,0.4738498,-0.197476,0.80022126,0.45373213,1.1087692,0.58555466,0.14443682,-0.46529394,0.055870216,0.22732805,-1.1595217
147,-0.1516778,0.6613176,0.13495737,0.8962745,0.06862003,0.72015744,0.4785654,-0.24664384,-0.45723793,0.073487654,0.030968798,-0.7573886
148,0.2587999,0.60933405,0.5837831,0.8123304,-0.36751992,0.8744085,0.10528488,-0.3284574,-0.48208344,0.14992668,0.3444181,-0.97047806
149,0.6707785,0.5725942,0.4080164,0.8560074,-0.4912687,1.097603,0.06355901,-0.32173198,-0.5276068,0.036921155,0.098245695,-0.7609642
15,1.0520012,0.6189962,-0.14020307,0.21980445,-0.17985167,0.5636784,0.13419531,-1.1239432,-0.82958734,0.9815113,-0.4599137,0.17073748
150,0.589759,0.80806303,0.34022057,0.9473626,-0.31559244,1.0101013,0.042118978,-0.3310973,-0.60036844,0.21205343,-0.027788026,-0.69180554
151,0.16595165,0.86082494,0.15645875,0.94014037,-0.122111216,0.7919422,0.19652213,-0.3286071,-0.42647097,0.38419333,-0.13259676,-0.4426416
152,-0.10785218,0.72667557,0.0028436952,0.82708186,0.14932676,0.96802926,0.31286415,0.08249058,-0.5039903,0.4130937,0.2787613,-0.9487236
153,-0.1741486,0.5609515,-0.28934452,0.9926869,0.60381025,1.0665922,0.4916552,0.120359935,-0.48871875,0.14386207,-0.11107093,-0.9468298
154,-0.081882946,0.6538505,-0.002596182,0.8586949,0.25500718,0.8807769,0.26164958,0.03338083,-0.46456045,0.308334,0.09089564,-0.8155958
155,0.14125164,0.6919119,0.25972688,0.895985,-0.19771838,0.8823887,0.27611616,-0.25178763,-0.4165453,0.23329608,0.09878265,-0.58028847
156,0.4303437,0.8319951,0.3672603,0.7933049,-0.34288773,0.88716567,0.05165519,-0.221952,-0.43158665,0.28976372,0.07433068,-0.6847141
157,0.84656084,0.5126714,0.4004126,0.7985717,-0.6343171,1.0547649,0.018017843,-0.29114634,-0.5091787,-0.07458401,0.013008689,-0.6679322
158,0.3894039,0.57580346,0.39138493,0.8309247,-0.32354534,0.86475044,0.11109277,-0.3180073,-0.44503605,0.14005032,0.06934145,-0.5613303
159,-0.052573517,0.78284055,0.109446816,0.9505845,0.020301614,0.8748696,0.3337791,-0.2840333,-0.42182565,0.28450686,-0.011553138,-0.6203649
16,1.9191808,1.0802525,0.26241684,0.122550055,0.3370284,0.4599208,0.10612857,-0.23932704,-0.9089496,0.56648433,0.49607167,-0.058988478
160,-0.15590882,0.6153735,-0.087450676,0.8939009,0.24938126,0.82420754,0.35584304,-0.024863146,-0.44322765,0.3442551,0.12748298,-0.7399781
161,-0.11898802,0.42419943,-0.2369824,1.047595,0.5083367,0.91388625,0.47426075,-0.04607425,-0.5276829,0.11843632,-0.03831083,-1.0272592
162,-0.046880245,0.6830746,-0.17277879,0.94416636,0.23180549,0.8557986,0.39212525,-0.052565068,-0.44178122,0.27285472,-0.05447885,-0.70809174
163,0.10434013,0.80967325,0.21506636,0.9322392,-0.18461439,0.8388856,0.26350573,-0.35942227,-0.40958995,0.24595973,-0.010847451,-0.53143704
164,0.29640886,0.6411996,0.5308163,0.8093576,-0.4373085,0.8518006,0.034801416,-0.33348182,-0.44139162,0.0888157,0.10401763,-0.6013689
165,0.35430995,0.7908515,0.68187714,0.53289074,-0.4354809,1.5726937,-0.22003864,-0.3932127,-0.19225377,-0.51108885,-0.23496722,-0.4689831
166,0.7018384,0.66812825,0.58602744,0.85421926,-0.6422901,1.2062663,-0.08379292,-0.44086182,-0.44101542,-0.14493482,-0.08003127,-0.610257
167,0.14827484,0.69574463,0.120909035,0.85644,-0.11885597,0.7756439,0.28627115,-0.1745745,-0.3628222,0.19148156,-0.059625737,-0.55958515
